"統計名：","人口推計 2019年10月1日現在人口推計"
"表番号：","005"
"表題：","都道府県，男女別人口－総人口，日本人人口"
"実施年月：","2019年","10月"
"市区町村時点（年月日）：","-"

"***","　"
"-","該当数値がないもの　"

"","","","","","","","","/時間軸（年） コード","2019000000"
"表章項目 コード","表章項目","男女別 コード","男女別","人口 コード","人口","全国・都道府県 コード","全国・都道府県","/時間軸（年）","2019年"
"001","人口【千人】","000","男女計","002","日本人人口","34000","広島県","","2,761"
"001","人口【千人】","000","男女計","002","日本人人口","35000","山口県","","1,340"
"001","人口【千人】","000","男女計","002","日本人人口","36000","徳島県","","723"
"001","人口【千人】","000","男女計","002","日本人人口","37000","香川県","","945"
"001","人口【千人】","000","男女計","002","日本人人口","38000","愛媛県","","1,328"
"001","人口【千人】","000","男女計","002","日本人人口","39000","高知県","","693"
"001","人口【千人】","000","男女計","002","日本人人口","40000","福岡県","","5,039"
"001","人口【千人】","000","男女計","002","日本人人口","41000","佐賀県","","808"
"001","人口【千人】","000","男女計","002","日本人人口","42000","長崎県","","1,318"
"001","人口【千人】","000","男女計","002","日本人人口","43000","熊本県","","1,731"
"001","人口【千人】","000","男女計","002","日本人人口","44000","大分県","","1,123"
"001","人口【千人】","000","男女計","002","日本人人口","45000","宮崎県","","1,065"
"001","人口【千人】","000","男女計","002","日本人人口","46000","鹿児島県","","1,589"
"001","人口【千人】","000","男女計","002","日本人人口","47000","沖縄県","","1,434"
"001","人口【千人】","001","男","001","総人口","00000","全国","","61,411"
"001","人口【千人】","001","男","001","総人口","01000","北海道","","2,472"
"001","人口【千人】","001","男","001","総人口","02000","青森県","","585"
"001","人口【千人】","001","男","001","総人口","03000","岩手県","","592"
"001","人口【千人】","001","男","001","総人口","04000","宮城県","","1,127"
"001","人口【千人】","001","男","001","総人口","05000","秋田県","","454"
"001","人口【千人】","001","男","001","総人口","06000","山形県","","520"
"001","人口【千人】","001","男","001","総人口","07000","福島県","","914"
"001","人口【千人】","001","男","001","総人口","08000","茨城県","","1,427"
"001","人口【千人】","001","男","001","総人口","09000","栃木県","","964"
"001","人口【千人】","001","男","001","総人口","10000","群馬県","","962"
"001","人口【千人】","001","男","001","総人口","11000","埼玉県","","3,668"
"001","人口【千人】","001","男","001","総人口","12000","千葉県","","3,105"
"001","人口【千人】","001","男","001","総人口","13000","東京都","","6,846"
"001","人口【千人】","001","男","001","総人口","14000","神奈川県","","4,585"
"001","人口【千人】","001","男","001","総人口","15000","新潟県","","1,078"
"001","人口【千人】","001","男","001","総人口","16000","富山県","","506"
"001","人口【千人】","001","男","001","総人口","17000","石川県","","553"
"001","人口【千人】","001","男","001","総人口","18000","福井県","","374"
"001","人口【千人】","001","男","001","総人口","19000","山梨県","","397"
"001","人口【千人】","001","男","001","総人口","20000","長野県","","1,000"
"001","人口【千人】","001","男","001","総人口","21000","岐阜県","","964"
"001","人口【千人】","001","男","001","総人口","22000","静岡県","","1,797"
"001","人口【千人】","001","男","001","総人口","23000","愛知県","","3,780"
"001","人口【千人】","001","男","001","総人口","24000","三重県","","870"
"001","人口【千人】","001","男","001","総人口","25000","滋賀県","","699"
